Company ID,Companies,Exchange,Ticker,Description,Fiscal Period,Revenue,Gross Profit,EBITDA,Net Income,Enterprise Value,Primary Industry Sector,Ownership Status,Company Financing Status,Verticals,HQ Location,Last Financing Date,Last Financing Deal Type,Last Financing Size,PitchBook Link
107796-25,Enact Systems,,,"Developer of a single business platform designed for solar project management. The company's cloud-based platform automates the entire project lifestyle for commercial and residential projects, including design, financing, installation, and asset management, enabling utilities, municipalities, and co-operatives to launch and manage large-scale distributed energy programs.",FY 2021,1.00,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,Climate Tech,"Pleasanton, CA",26-Aug-2022,Later Stage VC,11.50,View company online
483788-26,Euclid Power,,,"Developer of renewable energy investment platform designed to guide through the execution of projects at all stages of the project lifecycle. The company offers data-driven systems to help develop, execute, and asset-manage renewables projects through services such as energy storage modeling, risk management, project feasibility, underwriting, and asset management, enabling renewables developers and investors to demystify technical and financial diligence, de-risking projects for investment.",FY 2021,1.00,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,"CleanTech, SaaS","Bloomington, MN",01-Oct-2023,Early Stage VC,,View company online
64021-96,Sunverge,,,"Developer of an energy resource management platform designed to make renewable power reliable, economical, and accessible. The company's platform provides co-optimization of services on both sides of the meter to intelligently manage renewable energy generation and utilities, enabling users to manage their infrastructure investments, reduce generation costs, increase system reliability, and meet their renewable energy goals.",FY 2021,1.00,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, LOHAS & Wellness","San Francisco, CA",17-May-2023,Later Stage VC,2.06,View company online
53847-37,Husk Powering Possibilities,,,"Operator of a hybrid power plant and distribution network intended to provide reliable power to rural communities and businesses from renewable energy sources. The company's network offers a proprietary system by combines and synchronizes solar PV, biomass gasification systems, and batteries to deliver highly reliable, round-the-clock power, enabling customers to access a flexible pay-as-you-go energy service using a mobile-enabled smart metering system.",FY 2015,0.96,0.59,,-0.66,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, Infrastructure","Patna, India",24-Oct-2023,Later Stage VC,103.00,View company online
503586-55,Nordic Batteries,,,"Manufacturer of battery packs and energy systems intended to offer sustainable energy storage services in cooperation with partners and customers. The company's systems help to assemble new and second-life battery that produces sustainable energy storage services with agile battery pack assembly, enabling clients to get various energy systems customized for maritime and demanding industrial application.",FY 2022,0.94,,-0.52,-0.52,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"Artificial Intelligence & Machine Learning, Big Data, CleanTech","Hovik, Norway",,Later Stage VC,13.99,View company online
83370-61,Hyperlight Energy,,,"Developer of solar steam generators designed to provide cost-effective six-month energy storage. The company's low-cost and concentrated solar power generation technology is used to produce clean and affordable heat and cooling and generate renewable power while simultaneously decarbonizing oil production, enabling users to save costs and reduce carbon emissions used in thermal energy generation.",FY 2020,0.88,,,-0.74,,Energy,Privately Held (backing),Accelerator/Incubator Backed,"CleanTech, Climate Tech, LOHAS & Wellness, Oil & Gas, TMT","Lakeside, CA",16-Dec-2021,Equity Crowdfunding,0.37,View company online
434188-27,SmartPulse,,,"Developer of internet of Things supported, a cloud-native solution intended to provide an end-to-end solution to energy market players designed to address the current and future challenges of continuous trading. The company's platform can be used to track the facility's energy consumption, temperature, and humidity information, manage energy costs and bills, reduce energy costs by analyzing data and the market forecasts, manage switchboard by designing smart algorithms, get instant energy trading, enabling all power market players to connect energy exchanges grid operators power plants consumers prosumers service providers via an end-to-end comprehensive cloud-native software-as-a-service platform.",FY 2020,0.87,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,"Artificial Intelligence & Machine Learning, SaaS","Istanbul, Turkey",19-May-2023,Later Stage VC,1.00,View company online
107003-44,Urban Electric Power,,,"Manufacturer of rechargeable zinc-manganese dioxide batteries intended to for energy storage with safe, affordable zinc-battery technology. The company's core technology revolutionizes the chemistry found in alkaline primary batteries e.g. common household AAs, and AAAs, and makes it rechargeable at scale, thereby helping clients to get reliable access to electricity which in turn promotes public health, education, and economic well-being.",FY 2021,0.87,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, Manufacturing","Pearl River, NY",10-Dec-2020,Later Stage VC,21.00,View company online
62062-57,Saltx Technology Holding (STO: SALT B),STO,SALT B,SaltX Technology Holding AB engages in the development and sale of patented energy storage technology that can be stored in salt. It develops a technology that stores energy in salt crystals and converts it into heating and cooling.,TTM 3Q2023,0.86,,-3.36,-4.81,24.92,Energy,Publicly Held,Formerly VC-backed,"CleanTech, Climate Tech, Manufacturing, TMT","Hägersten, Sweden",29-Jun-2022,PIPE,7.23,View company online
52702-21,EnergyHub,,,"Developer of a dynamic software technology intended to improve the relationship between consumers and utilities. The company's platform lets consumers turn their smart thermostats, water heaters and other products into virtual power plants that keep the grid stable and enable higher penetration of solar and wind power.",FY 2010,0.83,,,,,Information Technology,Acquired/Merged (Operating Subsidiary),Formerly PE-Backed,"CleanTech, TMT","Brooklyn, NY",07-May-2013,Buyout/LBO,14.10,View company online
149946-40,CleanCapital,,,"Operator of a diversified clean energy company committed to mitigating the climate crisis. The company specializes in monitoring, identifying, performing diligence and managing clean energy projects, thereby enabling institutional investors, family offices and funds to invest in secure and diversified clean energy projects.",FY 2021,0.80,,,,,Financial Services,Privately Held (backing),Private Equity-Backed,TMT,"New York, NY",31-Jul-2023,Secondary Transaction - Private,,View company online
90540-55,New England Hydropower Company,,,"Provider of hydroelectric facilities intended to offer small-scale hydroelectric generation. The company utilizes modern Archimedes hydro-screws to ensure that fish, stream beds, and other wildlife are protected, operates and owns sells power and evaluates, permits, engineers, and builds on existing dams and canals that still serve a valued purpose, enabling the renewable energy market to get a fresh, environmentally sound and wildlife-safe approach to small-scale hydroelectric generation.",FY 2022,0.80,,0.20,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, TMT","Beverly, MA",16-Mar-2023,Later Stage VC,5.00,View company online
182054-98,Sun Exchange,,,"Developer of a solar leasing platform intended to encourage people all over the world to earn while making a positive impact. The company's platform uses blockchain to let anyone, anywhere buy solar cells and automatically lease them to power businesses and other organizations in sunny emerging markets, enabling organizations and individuals to harness the benefits of solar power.",FY 2018,0.80,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"Climate Tech, Cryptocurrency/Blockchain, FinTech, Mobile Commerce, TMT","New York, NY",31-Dec-2021,Later Stage VC,,View company online
454545-55,Prescinto,,,"Developer of advanced monitoring IoT platform designed to perform analytics and automation support for the maintenance of assets. The company's platform offers advanced data analytics, and contract and warranty management alternatives that collect plant data which applies data science models to identify causes for underperformance and suggest work orders to plant crew to increase generation, enabling clients to maximize the value of their energy storage assets through market-specific optimization.",FY 2022,0.78,,,-0.65,,Information Technology,Privately Held (backing),Venture Capital-Backed,"Advanced Manufacturing, CleanTech, Internet of Things","Ahmedabad, India",12-Dec-2023,Accelerator/Incubator,,View company online
172672-57,EnergyNest,,,"Developer of a renewable storage technology intended to decarbonize industrial heat with thermal energy storage. The company reduces carbon emissions and increases the security of supply by storing and supplying green energy, heat or steam on demand that can be used in energy and power grid systems, enabling clients to maximize the value of their energy.",FY 2022,0.75,,-7.87,-7.87,,Energy,Privately Held (backing),Private Equity-Backed,"CleanTech, LOHAS & Wellness, TMT","Billingstad, Norway",15-Jul-2021,Buyout/LBO,130.77,View company online
57856-33,Nilar International,,,"Nilar International AB is an innovative developer of batteries and electrical energy storage systems for stationary applications. Energy storage systems are used to bridge imbalances between energy production and demand in order to improve the utilization of intermittent electricity production from renewable energy sources, such as solar energy and wind power, as well as to strengthen the increasingly strained power grids. Nilar's battery technology is based on nickel-metal-hydride electrochemistry with a water-based electrolyte, which results in a environmental and safety profile together with a competitive price over a life cycle.",TTM 3Q2023,0.74,-20.11,-25.31,-33.44,18.72,Business Products and Services (B2B),Out of Business,Corporation,Manufacturing,"Gävle, Sweden",30-Nov-2023,Bankruptcy: Admin/Reorg,,View company online
495004-51,BioEsol,,,"Manufacturer of an energy storage system intended to be efficient and sustainable and save on energy costs through a monthly subscription. The company's platform prevents energy disruption by providing an affordable, scalable, reliable, and sustainable alternative, and it facilitates the transition to the use of clean energy, supports SMBs that need reliable energy to avoid power outages, voltage fluctuations, high energy expenses, and negative environmental impact, enabling consumers to take full advantage of the energy from renewable sources, generating a positive impact on the environment.",FY 2023,0.61,,,,16.20,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"Artificial Intelligence & Machine Learning, CleanTech, LOHAS & Wellness, Manufacturing","Guadalajara, Mexico",17-May-2023,Early Stage VC,0.15,View company online
399711-34,ECO STOR,,,"Provider of an energy storage technology intended to enable the replacement of fossil. The company's technology uses both batteries (first-life) and second-life electric vehicle batteries in energy storage applications that reduce the environmental impact of electrification, enabling developers, builders, and homeowners to get access to low-cost, energy-efficient buildings",FY 2022,0.58,,-1.33,-1.35,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, Infrastructure, LOHAS & Wellness","Oslo, Norway",05-Oct-2022,Early Stage VC,9.63,View company online
108600-40,Infinite Composites,,,"Developer of advanced gas storage systems designed to proliferate the spread of composite pressure vessel technologies. The company's systems hold more fuel weight than cylinder weight, which is ideal for weight-sensitive and aviation applications such as launch vehicles, satellites, spacecraft, oxygen-breathing systems, and fuel suppression, enabling companies in the aerospace, industrial gas, and transportation markets to adopt composite pressure vessels.",FY 2020,0.58,0.54,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,Space Technology,"Tulsa, OK",,Secondary Transaction - Private,,View company online
434365-03,Blue Frontier,,,"Developer of an air conditioner technology intended to reduce energy consumption compared with conventional systems. The company technology leverages the savings in building energy bills and utility infrastructure requirements to pioneer HVAC-as-a-Service business models and the air conditioner also stores electricity, allowing it to dial its electricity consumption to periods when renewable energy is bountiful without impacting when air conditioning is provided, enabling customers to get an air conditioner that requires less than half the electricity than a conventional system.",FY 2020,0.57,,-0.13,-0.13,,Consumer Products and Services (B2C),Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech","Boca Raton, FL",30-Jun-2022,Later Stage VC,20.00,View company online
99292-24,Faradion,,,"Developer of non-aqueous sodium-ion cell technology designed to provide cheap and clean energy. The company's technology delivers battery energy sources for key applications, such as transportation, storage, backup power, and energy in remote locations, providing clients with a lithium-ion performance at lead-acid prices.",FY 2022,0.57,0.53,-4.15,-4.23,,Business Products and Services (B2B),Acquired/Merged (Operating Subsidiary),Formerly VC-backed,"CleanTech, Climate Tech, LOHAS & Wellness","Sheffield, United Kingdom",05-Jan-2022,Merger/Acquisition,133.42,View company online
61718-41,Smoltek (SAT: SMOL),SAT,SMOL,"Smoltek Nanotech Holding AB is a Sweden-based company engaged in the development of nanostructure fabrication technology. The company is involved in generating various brands that enable the formation of nanostructures optimized for advanced semiconductor packaging applications such as for decoupling, filtering or energy storage.",TTM 3Q2023,0.56,,,-4.97,-0.41,Information Technology,Publicly Held,Formerly VC-backed,"Manufacturing, Nanotechnology","Göteborg, Sweden",16-Dec-2021,Secondary Transaction - Private,,View company online
529832-44,GerrisBoats,,,"Developer of a modular hybrid-foiling electric boat platform intended to provide smart water mobility with improved accessibility. The company's patented foiling platform is designed to take off and cruise at low speed and high payload, suitable for small vessels and many passenger vessels, its modular and scalable hull design can be used for different types of vehicles sharing the same platform, and the torpedo, which houses both propulsion and energy storage, it is is standardized and interchangeable so it can fit different types of propulsion, for higher compliance with circular economy principles, enabling consumers to have an environment-friendly boat that saves energy.",FY 2023,0.52,,,,,Business Products and Services (B2B),Privately Held (backing),Angel-Backed,"CleanTech, LOHAS & Wellness","Lavagna, Italy",,Equity Crowdfunding,,View company online
473349-88,Optimeering,,,"Operator of a cloud-based platform intended to optimize the performance of physical power trading and operations. The company offers data, forecasting, and optimization tools, to reduce customers' imbalance costs, save time for their operators, and unveil new market opportunities, enabling, operators to manage their short-term positions in a simpler, more reliable, and faster manner.",FY 2022,0.52,,-0.77,-0.77,,Information Technology,Privately Held (backing),Venture Capital-Backed,"Artificial Intelligence & Machine Learning, SaaS","Oslo, Norway",29-Jun-2023,Later Stage VC,1.66,View company online
227328-49,Advanced Renewable Power,,,"Developer of a mobile power grid (MPG) designed for countries without electric power grids. The company's grid uses a battery management system that integrates the electric grid with energy sources, such as solar or wind generators to create self-sustaining power-generating units that can be installed on trailers, containers and semi-trucks, enabling individual customers and corporate clients to have access to generators that will generate a reduction in fuel consumption and complement energy sources.",FY 2023,0.50,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, TMT","Carmel, IN",28-Sep-2023,Later Stage VC,3.00,View company online
328118-23,Joule Case,,,"Manufacturer of portable, battery-based generators intended to facilitate outdoor energy requirements. The company offers control modules, battery modules, solar modules, and stackable systems that can refuel for residential, commercial, and industrial uses and events, enabling customers to access an alternative to noisy gas generators.",FY 2021,0.50,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,LOHAS & Wellness,"Seattle, WA",07-Feb-2023,Equity Crowdfunding,1.19,View company online
328127-95,Tree Solutions,,,"Provider of energy services intended to optimize thermal systems to reduce energy consumption. The company helps to reduce energy wastage and provides solutions to increase the efficiency of an existing HVAC system by making it more intelligent and performing, enabling businesses to reduce energy consumption, save on costs, and protect the environment.",FY 2022,0.49,,0.15,0.06,,Energy,Privately Held (backing),Accelerator/Incubator Backed,CleanTech,"Milan, Italy",07-Jan-2019,Equity Crowdfunding,0.20,View company online
221508-10,BeeBryte,,,"Developer of cloud-based energy intelligence platform designed to reduce utility bills for businesses and homeowners by up to half. The company's SaaS-based platform uses energy storage systems, electric equipment like water heaters, and HVAC, and sensors that are installed in factories, commercial buildings, and homes via intelligent internet-connected devices that track and optimize energy consumption, enabling factories and commercial buildings to check and reduce energy wastage, while controlling utility charges.",FY 2021,0.49,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,"Artificial Intelligence & Machine Learning, Climate Tech, Internet of Things, LOHAS & Wellness, SaaS","Lyon, France",20-Jul-2022,Later Stage VC,8.46,View company online
56555-38,Open Energi,,,"Developer of energy demand management software designed to connect distributed energy assets to any energy market and deliver an affordable, zero-carbon energy future. The company's platform automatically optimizes and trades power from low carbon technologies such as battery storage, EVs, demand-side response, hydrogen electrolyzer, and smart buildings and offers energy that is cleaner, cheaper, more secure and efficient, enabling businesses to manage their energy loads, reducing energy costs and offering profitable returns on the market.",FY 2022,0.46,0.32,-4.46,-4.64,,Information Technology,Privately Held (backing),Private Equity-Backed,"CleanTech, TMT","London, United Kingdom",22-Jul-2021,Buyout/LBO,,View company online
111669-76,i-EM,,,"Provider of energy management services for renewable energy projects. The company's energy management services include letting the smart grid's behavior and its elements be manageable and predictable in various areas, distributed generation from renewable sources smart grids and energy storage systems, energy efficiency solutions, energy consumption control and optimization, electric vehicles, and sustainable mobility, helping businesses with a data-driven decision support tool for performance optimization and plant diagnosis.",FY 2022,0.39,,0.01,-0.01,,Business Products and Services (B2B),Privately Held (backing),Accelerator/Incubator Backed,"CleanTech, Climate Tech, LOHAS & Wellness","Livorno, Italy",17-May-2022,Grant,0.03,View company online
225718-30,Altris,,,"Manufacturer of cathode materials intended to produce sustainable batteries for generating affordable electricity. The company's products include highly sustainable, high energy density cathode materials and iron and sodium-based electrodes free from nickel, cobalt, and lithium and are used in rechargeable sodium batteries applied for stationary energy storage, enabling users to use safer, environmentally friendly batteries free of toxic or expensive compounds, thereby reducing environmental impacts.",FY 2022,0.38,,-1.88,-1.95,,Consumer Products and Services (B2C),Privately Held (backing),Venture Capital-Backed,"CleanTech, LOHAS & Wellness, TMT","Uppsala, Sweden",27-Nov-2023,Merger/Acquisition,0.11,View company online
101025-28,Carnot Compression,,,"Manufacturer of centrifugal compressor intended for oil-free compressed air applications. The company specializes in the development of industrial compressors using the weight of water to compress gas with a proprietary impeller and helps in energy storage while delivering low-temperature oil-free compressed gas, enabling food and life science industries with sustainable isothermal compression technology.",FY 2022,0.35,,,-0.82,,Business Products and Services (B2B),Privately Held (backing),Accelerator/Incubator Backed,"Industrials, Manufacturing, Oil & Gas","Scotts Valley, CA",27-Oct-2022,Grant,,View company online
277287-76,BlueSky Energy,,,"Manufacturer of batteries and storage products intended for microgrids and renewable energy sources. The company's products are saltwater-based energy storage systems using environmentally friendly and inherently safe, saltwater and Lithium Titanate Oxide technologies, enabling residential and commercial users to get the safest and environmentally friendly power storage.",FY 2020,0.35,,,-0.26,,Business Products and Services (B2B),Out of Business,Formerly Angel backed,"CleanTech, Manufacturing","Oberosterreich, Austria",25-Dec-2023,Out of Business,,View company online
43087-42,Euro Solar Parks,,,Euro Solar Parks Inc is engaged in building and operating commercial solar power plants with a focus on the European solar energy market.,TTM 3Q2011,0.34,,0.01,-0.03,0.25,Energy,Privately Held (backing),Corporate Backed or Acquired,"CleanTech, Industrials, Infrastructure, LOHAS & Wellness, TMT","Ho-Ho-Kus, NJ",11-May-2011,Merger/Acquisition,,View company online
234035-65,Ligna Energy,,,"Developer of large-scale energy storage technology designed to reduce greenhouse gas emissions. The company's technology offer batteries based on organic electronic polymers and biopolymers produced using an ordinary paper machine, enabling businesses, corporate clients, and energy industry players to reduce pollution and minimize their carbon footprint.",FY 2022,0.26,,-0.45,-0.47,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, LOHAS & Wellness","Norrkoping, Sweden",04-Mar-2022,Later Stage VC,1.47,View company online
493526-98,suena,,,"Developer of AI-based operation and trading software designed to empower energy storage to maximize and stabilize profits on short-term electricity and balancing markets. The company uses machine learning and calculates near real-time how and when to participate in which energy and balancing markets with which amounts of energy, taking into account technical factors, they are revolutionizing the way energy storage and renewables are integrated into power trading, it uses forecasting, optimization, and algorithmic trading techniques to reduce risks, maximize as well as stabilize profits on electricity and balancing markets, enabling customers to make investment decisions for an energy storage system.",FY 2023,0.25,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,"Artificial Intelligence & Machine Learning, Big Data, CleanTech, FinTech","Hamburg, Germany",20-Dec-2023,Seed Round,3.27,View company online
185193-01,Airthium,,,"Manufacturer of heat engines designed to make solar and wind energy cheaper than fossil fuels. The company's heat engines transform electricity into heat and vice versa, enabling users to access multi-purpose applications as a cheaper alternative to the use of natural gas in industrial heating and has to potential to remove CO2 emissions.",FY 2021,0.23,,,-0.54,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech","Villebon-sur-Yvette, France",25-Oct-2023,Equity Crowdfunding,2.69,View company online
55153-72,Microplanet Technology,,,"MicroPlanet Technology Corp is primarily engaged in the electric utilities, businesses, governmental agencies, and residential markets. It operates through the segments are namely; Electric Utilities, Businesses, Governmental Agencies and Residential Market. The company manages its business through the geographical regions - United States, Canada, Australia, New Zealand, Ireland and the United Kingdom. the organization generates most of its revenues from the Electrical Components and Equipment.",TTM 3Q2014,0.19,0.07,-1.25,-1.57,5.15,Business Products and Services (B2B),Publicly Held,Formerly VC-backed,"CleanTech, Manufacturing, TMT","Woodinville, WA",01-Jan-2017,Merger/Acquisition,,View company online
466466-05,Lithion Power,,,"Developer of a lithium-ion battery-swapping network intended to track and control assets. The company's network provides lithium-ion batteries at designated swapping points for e-bikes and three-wheelers to facilitate real-time optimal energy utilization, enabling battery manufacturers, fleet operators, asset managers, and other entities with easy battery swapping technologies.",FY 2022,0.18,,,-0.84,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"Advanced Manufacturing, CleanTech, Climate Tech, LOHAS & Wellness, Manufacturing, Mobility Tech","New Delhi, India",08-Sep-2021,Later Stage VC,0.47,View company online
496540-18,Mine Storage,,,"Developer of a portfolio of grid-scale energy storage technology and sites intended to become an enabler of the sustainable energy transition. The company develops environmentally friendly as well as fast-response and medium to large-scale pumped hydro systems in underground mines and also contributes towards the whole value chain, from qualifying and acquiring suitable sites and project development to financial structuring, design, procurement and construction and on to technical and commercial management, enabling clients with not only intermittent power generation but also electrification capabilities.",FY 2021,0.18,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech","Stockholm, Sweden",26-Apr-2022,Early Stage VC,,View company online
181623-43,Clean Energy Global,,,"Developer and vendor of smart commercial stationary batteries and battery modules designed to make a breakthrough in electromobility. The company's battery module is scalable, fast-swappable as well as lightweight, and is connected through an Internet of Things software system, enabling car manufacturers to reduce the cost of production by standardizing the development procedures.",FY 2023,0.16,,0.11,0.11,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, LOHAS & Wellness, Manufacturing","Berlin, Germany",30-Jun-2023,Seed Round,0.70,View company online
55710-37,Ideal Power (NAS: IPWR),NAS,IPWR,"Ideal Power Inc is pioneering the development of its broadly patented bidirectional power switches, creating efficient and ecofriendly energy control solutions for electric vehicle, electric vehicle charging, renewable energy, energy storage, UPS / data center, solid-state circuit breaker and other industrial and military applications. The company is focused on its patented Bidirectional, Bipolar Junction Transistor (B-TRAN) semiconductor technology. B-TRAN is a unique double-sided bidirectional AC switchable to deliver substantial performance improvements over conventional power semiconductors. The primary raw material used in the fabrication of B-TRAN devices is silicon wafers.",TTM 3Q2023,0.15,0.02,-9.61,-9.44,45.13,Business Products and Services (B2B),Publicly Held,Formerly VC-backed,"CleanTech, Industrials, Manufacturing, TMT","Austin, TX",13-Nov-2019,PIPE,3.50,View company online
233967-25,Geyser Batteries,,,"Developer of novel rechargeable batteries designed to offer an alternative energy source. The company's batteries specialize in proprietary water-based electrochemistry using patent-pending ECR technology that combines energy storage mechanisms used in batteries and supercapacitors and increases their energy capacity, enabling clients to achieve a sustainable and green future for generations to come.",FY 2022,0.11,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, LOHAS & Wellness, Manufacturing","Helsinki, Finland",01-Nov-2021,Accelerator/Incubator,,View company online
264269-35,ReJoule,,,"Developer of a battery diagnostic platform designed to reduce battery testing time from hours to minutes. The company's system is fast, accurate, and easy to use to test batteries for second-life applications, next-generation testers test batteries in-vehicle during first life, thereby enabling equipment manufacturers to reduce battery waste and save costs by enabling a sustainable and circular economy.",FY 2022,0.11,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,"CleanTech, Manufacturing","Signal Hill, CA",,Later Stage VC,0.17,View company online
184780-45,Sun Energia,,,"Provider of solar energy storage services intended to save energy, money, and the environment. The company's services use a laser-scanned 3D terrain data tool to calculate the amount of solar radiation the roof receives every hour of the year, enabling consumers to quickly calculate how much of the electric bill makes sense to cover solar energy and provide high-quality, reliable information about the solar radiation their roof receives and the true solar production and savings potential of each building.",FY 2022,0.10,,,-0.01,,Energy,Privately Held (backing),Accelerator/Incubator Backed,"CleanTech, SaaS","Espoo, Finland",19-Jul-2016,Accelerator/Incubator,,View company online
527500-99,Heatio,,,"Developer of eco-smart technology innovation and smart home energy technology modeling designed to offer a pioneering approach to renewable energy use in the home. The company's technology revolutionizes home energy management through a platform with a Home Energy Management System (HEMS) and Virtual Power Plant (VPP) to deliver a roadmap of improvements and enable optimization, control, and flexibility of connected technologies and devices in the home, such as heat pumps, electric batteries, and solar panels, thereby providing invaluable services to the national grid, enabling clients to save money on energy bills.",FY 2023,0.09,,,,,Information Technology,Privately Held (backing),Accelerator/Incubator Backed,CleanTech,"Liverpool, United Kingdom",,Early Stage VC,,View company online
453345-85,Hybrid Energy Storage Solutions,,,"Developer of energy storage and smart grid management options intended to integrate power storage technologies. The company's system generates a synergy between power electronics, advanced energy management algorithms, and controls to optimize and monetize the storage technologies, hybrid alternatives, and tools, enabling energy sectors to access a cost-effective system that can be integrated into different levels of the electrical grid offering a large portfolio of grid services.",FY 2018,0.08,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech","San Jose De La Rinconada, Spain",24-May-2021,Early Stage VC,2.79,View company online
443277-01,ElectricFish,,,"Developer of physical and digital electric vehicle infrastructure integrated with microgrid-scale battery storage. The company's patented technology accelerates the interconnection of high-powered electric vehicle charging from years to weeks in grid-constrained locations without trenching and supports the local site and grid resiliency with bi-directional energy capabilities powered by software optimization, de-risking deployments with proprietary location intelligence which predicts where resilient electric vehicle infrastructure will have the greatest impact, enabling local communities to support in energy resilience.",FY 2022,0.07,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech","Fremont, CA",,Early Stage VC,3.30,View company online
434196-46,Power Roll,,,"Developer of a solar technology designed to reinvent solar to generate energy anywhere and everywhere. The company's technology makes ultra-thin flexible solar photo-voltaic films in continuous rolls using a rapid low-cost process that can be enabled for a wide range of new and improved functions that enhance automotive and smart grid performance, safety, and functionality, enabling clients to produce clean, renewable energy at a fraction of the cost of any other source.",FY 2022,0.06,,-7.20,-6.03,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech","Sunderland, United Kingdom",06-Jul-2023,Later Stage VC,1.27,View company online
482482-81,Polar Night Energy,,,"Developer of heat storages designed to store renewable energy. The company designs and builds high temperature and zero-emission heat storage and facilitates the up-scaling of solar or wind energy to meet heating and electricity demand, enabling customers to use heat storage facilities for housing and industrial applications in an affordable way.",FY 2022,0.05,,,-0.09,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, LOHAS & Wellness","Tampere, Finland",13-Oct-2021,Early Stage VC,0.77,View company online
494422-84,PowerDev,,,"Developer of an artificial intelligence-powered application intended to make decisive and sustainable battery storage and green hydrogen investments. The company's platform combines the energy market big data collected from multiple sources and presents it to users through the SaaS data analysis tool, enabling companies to make data-driven decisions.",FY 2021,0.04,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"Artificial Intelligence & Machine Learning, Big Data, SaaS","Lewes, DE",01-Mar-2022,Early Stage VC,0.30,View company online
59796-91,Jericho Energy Ventures (TSX: JEV),TSX,JEV,"Jericho Energy Ventures Inc is a crude oil and natural gas company engaged in the exploration, development, and production of crude oil and natural gas. It also focuses on advancing the low-carbon energy transition with investments in hydrogen technologies, energy storage, carbon capture, and new energy systems. The company has two reportable operating businesses. One is focused on low carbon technologies and the other related to production of crude oil and natural gas.",TTM 3Q2023,0.03,-0.54,-3.20,-4.44,48.96,Energy,Publicly Held,Corporation,Oil & Gas,"Vancouver, Canada",22-Mar-2023,PIPE,2.25,View company online
184857-76,Teraloop,,,"Developer of a kinetic energy storage system designed to provide reliable renewable energy to the grid. The company's system uses a levitated rotor that can store energy and scale the power for medium to large-scale storage applications, enabling clients to have reduced grid congestion and volatility problems.",FY 2022,0.03,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech","Espoo, Finland",28-Mar-2019,Grant,2.72,View company online
231586-75,BroadBit Batteries,,,"Developer of sodium-based batteries designed to power the future green economy. The company's batteries are based on metallic sodium chloride (NaCl) which is capable of fully recharging in 5 minutes and can be used for next-generation electric vehicles, portable electronics, starters, and grid energy storage, enabling companies with high power and low-cost battery.",FY 2022,0.02,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"Climate Tech, LOHAS & Wellness, TMT","Espoo, Finland",,Accelerator/Incubator,,View company online
470614-60,Godi,,,"Manufacturer of sustainable green energy storage products intended to achieve a zero-carbon footprint. The company offers products that include cell chemistries, engineered batteries, and supercapacitor cells and is also working on the harvesting of carbon materials from abundantly available local resources and developing high voltage cells by employing an asymmetric configuration of carbon materials, enabling clients to avail a variety of products for automobiles, consumer electronics, renewable energy storage, and strategic sectors.",FY 2022,0.02,,,-0.35,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, LOHAS & Wellness, Manufacturing","Hyderabad, India",05-Dec-2023,Early Stage VC,6.00,View company online
